Date,ASA51,XNDX,SPXT,CACR,DAX,NKYTR,HSI1,KSP2TR
4/09/2014,48515.23,4434.07,3633.87,10303.18,9724.26,22906.95,60784.36,272.78
5/09/2014,48241.26,4460.01,3652.26,10283.81,9747.02,22895.99,60648.24,271.64
11/09/2014,47877.98,4463.6,3635.66,10179.32,9691.28,23247.44,59365.71,269.27
12/09/2014,47749.05,4438.06,3614.06,10181.16,9651.13,23304.56,59206.46,270.92
16/09/2014,47013.21,4435.93,3638.6,10106.54,9632.93,23250.84,58133.34,270.98
17/09/2014,46688.72,4442.87,3643.4,10157.56,9661.5,23217.83,58712.35,273.63
18/09/2014,46762.75,4475.06,3661.73,10233.87,9798.13,23479.25,58213.23,271.26
19/09/2014,46911.54,4471.8,3660.03,10225.9,9799.26,23849.83,58549.33,271.87
22/09/2014,46309.71,4429.42,3630.7,10183.11,9749.54,23681.39,57704.61,269.63
24/09/2014,46425.58,4465.61,3638.44,10132,9661.97,23625.2,57633.15,268.31
25/09/2014,46482.56,4371.28,3579.61,9997.83,9510.01,23927.23,57263.39,267.87
26/09/2014,45891.5,4421.58,3610.98,10088.44,9490.55,23853.46,57047.23,267.74
29/09/2014,45469.35,4414.92,3602.09,10004.24,9422.91,23972.18,55965.94,267.35
30/09/2014,45716.65,4418.35,3592.25,10137.79,9474.3,23770.65,55253.5,266.13
6/10/2014,45718.34,4382.28,3579.42,9840,9209.51,23355.23,56174.01,258.28
7/10/2014,45644.64,4319.35,3525.29,9662.36,9086.21,23197.79,56432.97,259.05
8/10/2014,45274.13,4409.52,3588.07,9568.2,8995.33,22921.7,56049.44,257.42
10/10/2014,44816.69,4223.73,3474.23,9351.48,8788.81,22487.5,55628.3,254
14/10/2014,44982.33,4157.83,3422.43,9393.08,8825.21,21952.46,55530.56,253.39
15/10/2014,45312.48,4131.44,3395.03,9051.82,8571.95,22153.83,55752.4,252.77
16/10/2014,45392.64,4108.85,3395.64,9003.35,8582.9,21661.27,55176.32,251.65
17/10/2014,45538.01,4163.62,3439.39,9266.57,8850.27,21358.7,55470.89,248.59
20/10/2014,45950.21,4223.21,3470.89,9170.21,8717.76,22209.26,55590.49,252.8
21/10/2014,45998.51,4333.77,3538.9,9376.98,8886.96,21758.19,55634.62,250.29
22/10/2014,46524.03,4310.05,3513.47,9431.79,8940.14,22333.57,56394.61,253.03
23/10/2014,46500.42,4378.45,3556.7,9552.62,9047.31,22250.08,56301.74,252.26
24/10/2014,46751.91,4410.92,3581.82,9486.49,8987.8,22474.48,56227,251.77
27/10/2014,47155.36,4415.28,3576.47,9412.59,8902.61,22617.94,55851.8,252.79
28/10/2014,47100.46,4481.42,3619.16,9449.19,9068.19,22531.5,56761.93,252.18
29/10/2014,47057.97,4464.23,3614.53,9444.53,9082.81,22860.61,57484.75,257.71
30/10/2014,47305.95,4475.44,3637.3,9514.84,9114.84,23014.44,57200.38,257.92
31/10/2014,47741.32,4538.28,3679.99,9725.87,9326.87,24125.54,57914.76,259.59
4/11/2014,47687.85,4536.19,3669.18,9489.45,9166.47,24785.58,57546.97,255.51
5/11/2014,47670.17,4534.05,3691.38,9669.19,9315.48,24895.57,57184.88,254.84
6/11/2014,47569.05,4548.83,3706.45,9713.44,9377.41,24683.48,57073.13,256.22
7/11/2014,48112.85,4545.08,3708.46,9626.62,9291.83,24812.8,56834.04,256.43
10/11/2014,47994.23,4562.63,3720.25,9702.27,9351.87,24666.03,57303.33,259.8
11/11/2014,47934.66,4574.89,3722.84,9754.23,9369.03,25171.49,57456.77,259.6
12/11/2014,47479.66,4584.18,3721.3,9606.64,9210.96,25278.71,57770.25,260.44
13/11/2014,47304.35,4604.04,3723.58,9627.03,9248.51,25566.61,57967.56,259.25
14/11/2014,47405.5,4616.61,3724.92,9660.4,9252.94,25710.72,58130.32,257.25
17/11/2014,47042.22,4604.38,3727.86,9714.72,9306.35,24950.74,57429.74,257.37
18/11/2014,46931.35,4638.29,3747.74,9798.13,9456.53,25495.01,56804.73,259.81
19/11/2014,46663.25,4616.99,3742.35,9806.88,9472.8,25413.71,56430.97,259.48
20/11/2014,46210.23,4638.67,3749.87,9733.38,9483.97,25431.58,56373.81,258.06
21/11/2014,46108.87,4648.76,3770.03,9993.18,9732.55,25514.85,56596.63,259.03
25/11/2014,46375.22,4689.24,3776.94,10073.82,9861.21,25588.51,57578.94,260.92
26/11/2014,46909.18,4722.63,3788.42,10053.38,9915.56,25553.17,58243.83,261.21
28/11/2014,46187.8,4744.28,3778.96,10091.9,9980.85,25665.29,57943.03,262.97
1/12/2014,45280.07,4689.62,3753.31,10062.36,9963.51,25856.75,56445.37,260.78
2/12/2014,45920.99,4709.47,3777.47,10091.56,9934.08,25964.23,57145.95,260.59
3/12/2014,46273.96,4717.21,3792.69,10099.74,9971.79,26048.33,56600.72,260.84
4/12/2014,46684.42,4716.12,3788.34,9943.42,9851.35,26293.49,57576.6,263.34
5/12/2014,46393.48,4715.72,3794.68,10167.46,10087.12,26342.35,57987.5,263.53
8/12/2014,46718.47,4679.42,3767.7,10066.26,10014.99,26364.68,58096.27,262.98
9/12/2014,45935.52,4697.28,3766.83,9809.64,9793.71,26184.96,56738.94,262.46
10/12/2014,45729.73,4621.17,3705.51,9726.74,9799.73,25595.8,56832.4,258.46
11/12/2014,45485.98,4645.06,3723.32,9722.03,9862.53,25367.69,56320.29,254.51
12/12/2014,45386.85,4593.44,3663.1,9453.03,9594.73,25535.53,56167.27,255.44
15/12/2014,45095.61,4547.64,3639.97,9231.46,9334.01,25135.44,55632.53,255.26
16/12/2014,44802.28,4473.46,3609.06,9433.87,9563.89,24629.66,54769.21,253.35
17/12/2014,44885.03,4556.13,3682.7,9476.98,9544.43,24724.34,54564.67,252.61
18/12/2014,45310.39,4668.45,3771.72,9794.08,9811.06,25298.1,55159.87,252.71
19/12/2014,46424.08,4683.77,3788.97,9777.73,9786.96,25902.77,55847,257
22/12/2014,47329.22,4696.78,3803.94,9807.21,9865.76,25922.97,56552.28,258.8
29/12/2014,47686,4718.16,3826.95,9953.57,9927.13,26093.81,57433.15,258.8
30/12/2014,47188.09,4685.11,3808.69,9786.72,9805.55,25683.09,56775.83,256.44
5/01/2015,47481.69,4553.78,3700.03,9477.4,9473.16,25621.19,57307.85,256.66
6/01/2015,46736.61,4498.91,3667.14,9413.18,9469.66,24847.76,56737.92,252.11
7/01/2015,46639.13,4552.84,3710.94,9480.55,9518.18,24850.91,57211.08,252.74
8/01/2015,46881.66,4641,3777.4,9820.48,9837.61,25265.6,57583.79,256.32
9/01/2015,47614.49,4611.19,3745.67,9633.49,9648.5,25310.68,57787.74,258.54
13/01/2015,47084.1,4559.68,3706.15,9889.84,9941,25148.76,58502.89,258.79
14/01/2015,46639,4537.44,3684.72,9735.31,9817.08,24719.38,58253.15,258.47
15/01/2015,46446.09,4475.94,3650.74,9965.72,10032.61,25179.65,58828.88,258.23
16/01/2015,46166.18,4533.39,3699.79,10095.78,10167.77,24819.75,58231.21,254.51
20/01/2015,46239.62,4565.21,3705.64,10249.75,10257.13,25558.77,57863.12,259.78
21/01/2015,46986.35,4588.06,3723.62,10339.21,10299.23,25432.46,58832.9,261.2
22/01/2015,47217.72,4673.72,3780.51,10497.22,10435.62,25503.9,59243.74,261.07
23/01/2015,47931.05,4682.23,3759.76,10699.88,10649.58,25772.83,60035.69,263.01
